Speed (km/h),Acceleration (m/sｲ),Braking intensity (%),Cornering speed (km/h),Driver Behavior rating
60.07,1.22,72.94,29.28,3.00
90.61,7.49,88.11,22.88,7.00
74.68,9.06,81.03,36.27,7.00
100.87,2.84,88.63,27.66,3.00
99.78,2.65,73.15,17.30,4.00
48.08,6.60,69.37,32.95,6.00
39.33,2.17,78.03,20.66,1.00
109.22,6.45,52.53,26.74,9.00
119.74,6.65,60.02,29.89,10.00
79.42,7.03,56.11,30.19,8.00
68.49,3.82,75.27,24.13,3.00
97.19,1.81,54.98,20.85,3.00
60.38,4.71,89.01,22.14,3.00
108.23,5.68,48.60,23.48,8.00
103.08,5.03,74.84,26.84,5.00
90.59,4.03,47.69,21.56,9.00
98.47,4.01,88.16,25.83,2.00
56.56,4.91,60.73,13.59,1.00
79.56,6.00,77.90,37.75,5.00
115.22,3.62,68.63,27.47,9.00
68.37,2.80,91.71,24.92,7.00
75.33,2.33,81.41,27.59,5.00
70.91,5.42,65.24,23.83,7.00
66.03,6.43,73.25,32.95,10.00
81.84,7.19,49.92,29.65,10.00
122.22,8.48,69.43,31.48,10.00
68.11,4.47,53.36,19.50,3.00
92.82,5.87,58.61,20.75,4.00
63.92,4.50,97.71,32.02,3.00
64.79,5.51,54.93,27.09,4.00
96.85,6.49,79.78,33.47,7.00
121.34,3.35,51.73,37.17,7.00
66.89,3.92,63.33,31.45,7.00
104.06,5.23,67.65,23.73,7.00
50.54,5.74,68.00,19.83,2.00
86.42,1.44,86.34,26.83,2.00
80.29,4.70,94.21,18.34,1.00
64.65,3.78,84.08,29.00,1.00
67.17,0.98,61.91,26.05,1.00
94.62,1.70,62.38,33.54,2.00
63.09,5.54,47.77,36.37,5.00
97.98,4.77,47.30,26.96,8.00
54.98,3.20,94.85,16.77,2.00
77.04,8.25,73.85,33.31,7.00
71.23,3.63,67.28,34.93,6.00
128.83,8.26,68.12,32.39,8.00
67.30,6.24,62.29,33.69,5.00
116.26,8.29,39.20,35.71,10.00
94.01,1.49,48.26,23.96,2.00
99.99,6.81,79.47,36.31,7.00
96.01,4.34,81.08,29.94,1.00
116.51,2.69,99.24,19.47,3.00
100.59,3.21,69.19,30.83,4.00
108.49,4.02,65.74,31.15,5.00
126.71,7.86,54.03,26.98,8.00
44.35,1.28,66.42,23.15,1.00
101.36,7.78,79.95,20.35,4.00
104.38,7.10,83.79,22.61,4.00
117.15,9.03,72.58,37.33,10.00
117.00,5.42,49.39,39.86,9.00
88.85,5.73,80.52,31.29,4.00
133.37,9.55,71.08,34.22,9.00
71.52,8.56,55.63,33.36,9.00
58.14,2.06,48.69,35.99,4.00
103.67,2.57,73.80,23.37,4.00
64.39,5.23,54.39,23.95,1.00
100.58,5.18,72.49,14.12,4.00
67.27,8.05,52.40,35.12,9.00
65.21,1.52,98.75,24.09,1.00
94.05,6.66,90.85,22.14,5.00
69.52,3.86,61.25,34.59,6.00
74.29,5.20,68.00,38.68,7.00
70.39,6.45,59.13,28.43,8.00
114.64,8.90,78.22,26.77,10.00
69.05,0.82,70.77,30.11,2.00
49.39,0.41,87.84,27.66,1.00
106.77,4.92,74.33,22.93,6.00
99.26,6.86,77.02,22.40,9.00
96.92,8.75,77.40,33.79,7.00
77.87,6.11,94.54,20.40,3.00
96.18,3.37,75.33,18.99,1.00
109.50,4.23,58.31,40.45,8.00
112.95,5.03,55.49,28.14,8.00
45.53,5.28,75.82,22.10,3.00
59.69,4.09,93.77,30.40,1.00
125.39,5.91,56.62,29.55,9.00
90.04,2.81,60.56,19.45,1.00
94.93,9.89,64.67,33.11,9.00
101.93,3.45,43.25,31.52,7.00
104.81,3.45,73.32,30.11,3.00
81.66,1.43,76.95,24.50,1.00
85.48,5.06,63.21,24.90,2.00
82.27,6.57,50.18,27.58,9.00
83.75,3.03,68.75,27.25,3.00
96.35,6.96,44.57,34.67,7.00
94.78,5.62,86.12,27.07,3.00
73.94,7.43,59.26,30.09,8.00
68.34,3.69,75.22,28.96,5.00
93.88,6.11,86.56,23.02,4.00
44.71,4.53,78.59,13.44,1.00
81.33,4.15,77.22,24.47,2.00
97.91,4.53,79.62,32.32,4.00
53.64,2.48,72.28,24.48,3.00
106.87,6.51,41.20,30.41,7.00
109.15,6.34,60.34,27.78,6.00
115.89,4.58,55.19,26.62,4.00
55.74,-0.35,88.88,16.20,1.00
102.54,4.46,83.77,29.58,2.00
89.34,3.16,90.87,25.80,3.00
114.55,7.79,66.68,21.60,6.00
117.64,6.93,72.93,30.01,5.00
115.81,4.42,49.49,38.26,9.00
81.66,4.01,80.61,22.40,4.00
100.47,3.53,99.43,20.08,2.00
103.51,7.05,86.00,28.30,7.00
58.84,6.33,92.49,28.80,2.00
108.30,5.65,56.93,37.87,7.00
104.81,3.47,106.80,19.17,1.00
125.76,8.80,35.33,35.76,9.00
77.80,3.54,68.79,36.78,5.00
121.08,7.97,58.91,34.45,8.00
124.08,6.81,56.06,21.03,6.00
79.63,3.08,83.56,26.05,3.00
89.56,2.62,72.39,30.25,3.00
102.28,5.95,59.91,28.06,8.00
109.37,9.33,62.74,28.41,10.00
54.31,6.92,82.35,25.86,3.00
65.71,2.01,102.57,22.06,1.00
85.36,4.71,92.14,12.14,1.00
83.82,4.86,61.44,34.18,7.00
97.50,3.85,81.70,18.24,3.00
90.34,7.36,58.50,35.44,6.00
114.40,4.30,64.39,30.50,9.00
85.19,7.04,63.98,18.47,3.00
107.96,5.81,61.27,17.87,5.00
100.06,6.32,63.15,28.37,7.00
90.45,8.53,55.77,33.32,8.00
61.56,3.25,54.94,24.81,5.00
55.62,6.07,42.10,28.49,6.00
53.03,1.30,67.86,17.78,2.00
121.62,8.08,72.64,29.39,9.00
106.39,5.45,65.09,24.83,9.00
62.37,5.15,48.42,19.03,6.00
125.02,9.39,53.35,37.80,10.00
88.48,1.86,57.35,29.47,4.00
116.78,7.44,75.80,32.51,9.00
98.69,7.51,60.38,30.20,7.00
73.83,4.71,74.33,18.45,3.00
106.56,8.92,65.89,18.73,7.00
77.23,0.93,66.63,22.27,1.00
48.43,3.76,73.00,21.86,5.00
116.08,7.54,44.02,21.64,9.00
115.80,6.00,64.61,25.89,10.00
40.94,2.98,73.91,31.38,3.00
84.64,3.32,77.80,34.77,3.00
63.39,7.05,51.88,22.48,4.00
81.43,4.91,71.72,35.05,7.00
57.34,4.04,44.20,22.32,6.00
83.68,4.15,73.52,19.52,5.00
59.58,3.50,96.86,29.72,6.00
100.96,5.47,81.27,35.37,9.00
85.32,5.85,81.28,24.30,7.00
73.29,5.91,38.77,26.57,10.00
99.91,4.54,97.89,25.23,6.00
88.46,5.32,93.72,35.74,3.00
99.55,1.62,64.80,20.26,3.00
95.04,0.85,63.17,27.04,1.00
87.99,4.50,74.63,31.46,4.00
99.36,7.64,85.19,26.30,6.00
64.97,5.82,68.32,32.20,9.00
57.79,6.15,87.12,27.29,3.00
79.81,5.52,68.56,29.42,9.00
35.96,5.36,85.35,33.19,1.00
96.68,1.93,58.78,19.69,1.00
86.93,2.76,84.01,21.38,2.00
79.85,4.69,42.35,32.87,9.00
73.80,1.83,79.40,29.21,1.00
90.74,6.93,84.11,24.05,3.00
119.29,5.82,73.64,28.24,6.00
43.76,1.40,72.63,23.28,3.00
97.43,4.19,81.13,19.23,1.00
99.02,4.56,47.00,39.56,7.00
84.72,5.10,69.93,33.60,5.00
97.37,6.27,45.85,33.97,10.00
52.05,1.45,93.69,21.62,1.00
73.30,3.08,97.65,23.99,4.00
52.83,2.22,96.66,27.41,3.00
79.92,9.66,81.02,34.34,10.00
60.56,7.39,63.36,28.61,6.00
100.97,-0.37,70.59,22.42,1.00
93.69,1.75,92.98,11.41,1.00
84.81,5.99,85.75,33.02,6.00
70.93,5.43,72.49,37.51,7.00
116.15,7.43,86.62,32.88,8.00
103.95,5.09,57.85,26.22,7.00
89.14,2.49,83.15,25.50,2.00
48.76,1.18,96.91,24.62,1.00
89.45,2.17,54.84,23.32,3.00
120.85,4.39,73.88,21.89,5.00
72.49,9.23,55.50,40.85,8.00
127.62,4.33,50.09,23.30,10.00
111.16,6.34,52.70,31.18,6.00
80.03,2.63,80.32,20.67,3.00
106.58,4.14,62.55,32.81,5.00
116.90,3.80,69.89,19.15,4.00
95.41,4.00,81.53,20.44,7.00
93.85,4.07,74.88,30.04,4.00
96.88,5.06,86.56,33.53,6.00
134.21,8.48,59.88,40.96,10.00
107.12,2.33,49.57,24.14,5.00
96.50,2.27,49.30,33.78,5.00
106.89,3.58,79.22,19.27,7.00
126.10,9.79,70.40,33.94,10.00
90.66,10.25,49.67,34.00,10.00
73.23,6.77,57.01,24.18,9.00
116.26,3.74,49.82,24.30,6.00
112.62,8.72,67.21,22.84,8.00
50.74,1.41,66.70,22.67,3.00
61.34,5.28,77.96,29.81,3.00
124.16,5.79,37.95,34.36,9.00
98.05,6.63,77.67,25.91,6.00
109.44,2.79,75.42,37.09,4.00
52.93,5.04,95.17,12.48,1.00
66.86,5.15,59.77,21.80,6.00
95.69,8.78,61.85,32.32,9.00
46.36,1.71,96.16,17.46,2.00
77.44,3.49,79.67,15.46,2.00
49.42,5.27,65.85,32.36,6.00
63.77,2.84,63.97,24.66,1.00
54.88,1.99,68.48,28.00,3.00
56.23,5.40,71.51,22.32,4.00
85.88,7.49,58.45,27.69,5.00
81.13,3.14,71.59,28.93,3.00
72.30,3.63,83.62,23.10,4.00
106.90,5.71,92.33,32.49,5.00
115.63,3.94,73.51,21.56,5.00
109.54,6.02,90.82,16.99,7.00
84.51,6.34,76.26,32.25,4.00
96.28,9.54,61.46,33.53,8.00
52.30,5.41,79.43,23.35,2.00
55.37,2.54,77.18,30.37,2.00
81.12,1.45,89.16,27.56,2.00
97.27,3.76,78.04,24.29,1.00
77.37,7.96,62.39,27.27,9.00
56.69,4.38,74.90,27.14,1.00
63.59,4.74,81.14,23.34,7.00
93.42,3.27,58.76,32.11,4.00
105.45,7.48,50.52,28.33,9.00
50.32,2.26,84.24,18.67,1.00
91.40,4.80,54.17,23.98,3.00
69.21,3.92,84.44,26.47,1.00
71.18,4.39,80.44,25.74,1.00
113.03,6.46,83.36,18.57,4.00
67.79,4.61,80.07,20.38,5.00
56.74,4.74,59.39,23.42,4.00
95.77,5.13,58.77,25.40,6.00
99.75,9.20,34.23,19.75,10.00
80.78,5.22,63.81,27.51,2.00
92.09,6.58,39.88,25.54,8.00
50.99,1.30,63.89,15.67,2.00
110.54,6.92,71.67,30.33,8.00
82.72,1.53,71.44,14.01,1.00
113.03,5.20,70.30,28.45,3.00
72.89,3.77,97.18,16.14,5.00
100.32,7.42,74.78,24.99,7.00
121.49,7.63,62.41,25.78,9.00
118.81,5.33,64.28,36.95,10.00
76.88,8.32,62.59,41.82,10.00
116.65,5.60,44.97,26.05,9.00
63.97,4.33,50.19,27.49,4.00
63.74,6.08,43.32,16.45,7.00
91.27,6.04,54.60,29.79,10.00
106.92,5.22,60.17,22.14,10.00
85.19,4.91,71.57,27.99,6.00
60.09,3.19,63.15,32.28,5.00
77.40,8.06,48.50,24.16,10.00
91.48,7.19,52.20,29.60,6.00
117.19,6.13,62.66,30.94,9.00
99.00,7.97,66.28,32.29,8.00
67.19,2.91,43.41,30.43,6.00
84.40,6.28,66.54,30.29,7.00
70.76,1.65,63.97,20.19,1.00
75.80,5.44,75.97,29.64,10.00
88.13,5.26,46.03,29.60,5.00
67.46,7.58,63.82,27.26,10.00
77.89,5.74,69.77,34.91,9.00
80.66,2.55,54.22,19.57,5.00
113.32,8.88,70.42,36.25,10.00
83.84,6.66,81.20,27.07,7.00
84.82,6.41,57.63,25.17,6.00
90.44,7.02,70.73,29.86,8.00
64.72,4.32,63.07,22.68,1.00
62.35,2.59,77.64,22.29,2.00
86.16,6.39,81.30,32.97,4.00
84.80,3.86,66.35,20.82,5.00
53.07,3.07,84.28,17.44,1.00
78.07,3.06,86.71,32.87,3.00
129.48,8.71,73.00,29.91,8.00
120.93,4.63,77.98,27.87,8.00
69.11,0.87,83.63,30.73,1.00
71.86,6.21,71.71,31.58,6.00
63.55,3.14,75.12,22.08,4.00
94.40,3.14,44.37,37.47,5.00
107.46,5.82,69.33,28.65,8.00
41.71,3.82,58.38,21.83,1.00
50.32,2.63,65.30,19.35,3.00
97.94,5.09,89.51,14.26,5.00
91.24,5.73,51.69,29.41,9.00
92.16,3.34,56.55,29.29,5.00
98.70,6.18,88.00,19.18,3.00
89.34,6.76,73.68,28.62,3.00
105.79,1.77,89.16,26.20,3.00
74.25,5.75,58.94,28.41,4.00
93.02,5.27,64.97,27.82,4.00
108.52,1.46,55.65,20.43,4.00
103.46,5.31,73.83,20.43,4.00
114.87,1.76,47.71,31.35,4.00
49.52,4.53,70.85,23.09,1.00
89.94,6.63,65.96,30.90,8.00
99.01,7.54,85.43,40.17,9.00
76.61,4.78,53.99,25.62,7.00
80.02,8.05,60.54,19.47,9.00
100.08,3.66,50.10,29.95,5.00
78.14,5.53,78.17,27.58,7.00
110.64,5.51,78.83,28.10,7.00
58.71,6.60,91.43,19.88,3.00
104.79,9.46,35.27,30.90,8.00
99.52,5.18,59.40,27.47,8.00
87.83,10.78,67.41,28.87,10.00
113.59,6.38,46.22,32.80,10.00
103.25,5.47,52.66,29.15,10.00
47.76,1.58,63.31,25.87,1.00
97.99,2.82,87.42,18.62,4.00
52.05,2.85,69.48,20.98,2.00
69.89,2.42,75.19,13.15,2.00
77.44,9.28,63.97,30.73,8.00
112.04,4.15,69.70,34.55,9.00
88.77,6.95,54.95,28.50,9.00
106.71,2.58,61.32,17.85,3.00
105.15,7.15,76.06,35.88,4.00
89.64,7.25,76.15,25.03,8.00
103.83,8.28,93.08,27.07,6.00
76.34,5.00,95.11,20.86,1.00
91.18,3.22,79.72,16.97,4.00
66.73,6.67,55.65,29.65,8.00
107.00,3.63,92.19,22.94,1.00
52.33,5.25,82.85,27.27,3.00
114.36,2.65,53.69,30.58,5.00
117.40,6.46,75.27,29.33,5.00
78.99,5.55,51.45,34.87,6.00
105.59,6.52,61.68,20.80,4.00
111.59,7.16,69.71,22.76,5.00
109.23,7.85,56.27,27.29,6.00
100.90,6.76,47.56,25.29,4.00
81.63,3.02,63.51,17.06,2.00
97.22,8.52,66.79,25.05,8.00
87.10,8.33,46.62,26.34,9.00
103.47,9.41,69.42,32.73,8.00
58.00,3.87,76.78,29.89,4.00
106.85,4.48,69.13,16.75,4.00
116.13,9.67,58.99,31.01,9.00
70.66,2.96,56.31,30.95,5.00
102.03,5.40,88.86,23.34,2.00
101.14,3.36,100.78,23.48,2.00
62.22,7.32,61.09,29.23,7.00
103.68,7.28,45.09,32.80,8.00
78.65,5.28,61.89,24.72,7.00
54.06,5.18,62.90,23.04,4.00
110.51,5.42,89.18,26.70,7.00
107.55,4.55,73.11,31.29,7.00
65.04,2.10,49.77,22.17,3.00
106.18,8.82,69.57,29.78,10.00
92.80,3.50,59.44,31.24,4.00
68.81,8.88,62.26,28.29,10.00
78.43,6.62,63.07,25.07,8.00
72.64,5.80,70.12,25.62,9.00
92.18,3.93,85.24,18.43,4.00
108.50,8.77,75.88,25.74,10.00
122.30,10.31,65.21,25.18,10.00
76.30,6.40,74.34,35.17,9.00
80.94,6.36,72.64,24.10,6.00
94.46,3.57,69.19,33.00,4.00
61.94,4.01,86.85,22.40,7.00
55.53,2.06,65.96,29.14,2.00
89.44,6.16,64.41,27.12,4.00
121.02,7.56,62.71,29.95,9.00
108.68,3.70,45.61,32.15,7.00
81.29,7.42,54.18,23.75,6.00
81.35,7.77,69.32,27.45,7.00
116.58,7.44,58.63,25.31,10.00
98.74,4.36,51.53,24.05,6.00
82.51,7.67,41.38,27.20,10.00
119.22,7.46,49.94,25.04,10.00
66.11,8.36,70.45,34.27,7.00
92.99,5.17,63.88,23.02,3.00
70.82,5.21,82.59,31.12,3.00
114.77,5.65,52.79,27.41,10.00
97.86,8.16,60.23,31.12,5.00
112.09,8.10,49.21,19.68,10.00
86.88,3.73,54.32,26.84,4.00
88.97,6.43,75.07,28.47,9.00
75.65,2.39,78.69,21.67,2.00
90.82,6.35,70.81,30.24,4.00
94.51,7.39,71.87,28.84,7.00
67.15,2.56,64.64,16.67,1.00
96.34,3.28,76.03,21.24,3.00
72.04,3.48,71.38,34.19,6.00
117.46,3.93,51.05,35.12,8.00
65.06,4.66,64.72,29.84,4.00
88.30,6.84,46.54,36.02,10.00
130.16,4.30,74.01,40.02,10.00
83.10,7.97,53.75,26.15,7.00
117.41,4.80,80.05,30.97,8.00
62.14,1.48,80.84,23.78,1.00
92.72,6.49,58.02,29.67,10.00
63.89,4.77,63.66,34.53,8.00
78.27,5.03,79.70,29.81,2.00
78.36,5.54,63.82,22.87,3.00
88.58,6.53,52.86,34.15,7.00
129.15,6.37,60.43,38.73,8.00
111.66,6.03,65.09,33.86,5.00
83.76,6.95,86.37,24.68,4.00
119.55,10.40,79.76,36.98,10.00
99.60,2.12,102.83,27.05,2.00
68.39,5.79,72.63,34.97,8.00
98.86,6.92,93.72,16.92,4.00
104.11,2.02,83.32,20.19,4.00
83.81,8.99,50.31,33.09,10.00
109.99,5.87,49.10,22.81,10.00
78.33,3.31,75.87,22.10,4.00
58.17,3.86,74.05,23.15,4.00
82.96,6.98,54.13,31.08,4.00
90.94,3.67,62.89,34.66,2.00
77.18,3.27,77.00,35.53,2.00
95.79,6.53,79.24,30.04,2.00
112.22,4.67,49.92,21.88,9.00
83.88,2.57,67.78,26.08,2.00
127.67,5.75,68.75,34.41,10.00
92.02,5.18,79.29,21.49,2.00
61.60,6.05,73.07,31.12,4.00
65.73,5.56,82.28,22.44,10.00
126.48,10.64,71.62,34.49,10.00
77.87,2.51,72.49,33.75,3.00
109.59,9.01,87.06,23.88,7.00
98.20,5.23,81.37,30.40,2.00
105.42,4.58,62.70,36.58,10.00
76.33,7.30,74.97,27.88,5.00
94.04,6.13,53.17,37.00,7.00
68.55,3.94,53.57,31.45,3.00
93.93,2.71,63.63,23.51,1.00
107.40,1.26,90.37,28.67,4.00
67.99,4.10,80.83,26.10,1.00
71.06,3.19,57.86,28.81,5.00
67.09,2.04,89.64,18.93,3.00
85.74,4.40,48.17,24.60,6.00
66.35,7.58,75.19,27.67,7.00
74.40,3.95,55.77,30.55,1.00
115.37,5.72,66.64,28.76,8.00
72.94,7.81,50.47,34.74,10.00
82.98,3.63,54.77,34.59,6.00
85.18,3.77,87.68,35.78,8.00
96.00,5.66,84.22,20.34,6.00
73.45,4.12,75.95,32.65,5.00
111.20,3.55,78.06,33.17,2.00
99.98,6.49,88.00,30.05,2.00
75.45,8.34,74.48,29.96,10.00
75.10,6.32,71.47,14.63,3.00
40.47,2.22,70.37,26.83,1.00
87.75,5.59,56.53,29.95,4.00
69.33,5.43,69.99,30.27,5.00
108.71,8.29,38.93,30.40,8.00
80.66,6.03,84.49,24.36,7.00
66.57,2.02,57.26,19.65,1.00
98.34,5.02,58.78,29.22,2.00
97.64,3.55,92.33,29.90,3.00
75.47,2.96,59.49,34.43,1.00
97.69,4.13,61.13,32.16,7.00
125.16,6.10,76.43,30.92,8.00
62.98,4.86,72.10,19.16,4.00
103.51,5.70,58.60,34.89,10.00
77.82,3.70,91.19,29.40,4.00
57.36,2.48,99.88,22.87,1.00
116.64,6.01,57.39,27.94,9.00
113.28,5.03,45.77,31.05,5.00
108.06,6.49,61.85,23.79,7.00
114.21,4.29,75.07,27.07,7.00
72.33,0.40,80.30,20.70,1.00
50.29,4.94,86.25,24.30,3.00
127.03,3.96,70.77,30.24,8.00
50.75,5.48,82.13,20.31,3.00
69.94,6.50,75.05,33.96,3.00
57.18,5.26,97.38,30.49,3.00
98.41,4.05,80.17,37.78,5.00
100.05,3.97,68.19,25.65,1.00
106.57,5.14,65.17,23.24,6.00
94.12,4.69,72.04,30.77,4.00
124.76,7.42,50.95,30.79,10.00
54.67,2.20,58.19,27.33,6.00
54.57,3.67,70.42,13.78,2.00
72.06,4.43,72.19,15.82,1.00
119.08,8.33,66.16,37.64,10.00
78.39,6.15,56.97,31.75,10.00
83.30,6.25,41.52,34.29,8.00
82.21,4.88,50.13,32.27,9.00
106.42,5.02,51.51,20.17,5.00
70.51,2.67,77.67,27.37,3.00
84.58,4.53,55.33,20.01,8.00
106.71,6.97,69.51,33.14,7.00
75.32,6.97,60.66,25.99,8.00
60.06,1.07,79.76,33.00,1.00
127.40,8.42,51.43,22.38,8.00
103.42,5.83,34.61,25.73,9.00
69.07,5.49,57.30,35.33,7.00
58.04,5.76,74.72,26.60,2.00
80.98,6.35,77.52,24.68,6.00
87.75,10.24,58.70,33.95,10.00
73.36,4.65,76.83,14.75,1.00
72.92,2.58,80.86,31.10,3.00
113.29,5.46,80.98,32.33,4.00
62.58,8.73,54.02,34.67,9.00
94.91,6.17,66.19,42.87,10.00
76.77,3.79,63.81,36.16,5.00
74.89,5.87,61.90,29.10,6.00
100.63,4.87,42.07,39.88,8.00
111.27,4.25,58.08,36.34,8.00
72.41,4.64,32.08,41.10,10.00
90.07,9.60,65.61,33.03,10.00
62.32,5.55,77.85,40.50,10.00
101.59,6.17,91.53,19.78,5.00
82.80,6.50,46.90,20.91,7.00
65.28,3.78,73.75,17.70,1.00
119.15,9.57,39.36,32.23,10.00
84.27,8.89,60.51,26.57,7.00
102.90,7.03,47.79,24.48,6.00
100.61,6.04,50.75,36.97,6.00
127.85,6.96,49.84,22.77,10.00
76.39,7.02,63.30,29.22,9.00
97.53,3.67,47.20,16.21,5.00
126.91,8.26,49.54,18.94,8.00
80.86,7.80,53.20,36.08,10.00
65.87,3.29,77.03,34.25,5.00
87.94,5.96,48.55,20.04,7.00
112.11,4.88,53.50,27.50,6.00
95.63,4.82,73.38,22.31,3.00
102.37,10.42,66.50,33.12,10.00
66.87,7.34,72.60,24.59,6.00
98.85,3.29,77.75,33.33,5.00
72.96,5.61,75.48,35.57,7.00
79.41,6.33,42.11,29.77,9.00
89.36,7.39,63.14,27.87,10.00
100.89,5.28,74.98,28.78,10.00
81.97,6.63,62.33,27.54,7.00
75.92,4.24,63.51,30.64,2.00
116.25,5.84,83.68,36.99,7.00
98.19,6.10,57.89,32.33,10.00
93.26,4.49,52.36,23.99,8.00
61.62,4.30,71.84,23.45,1.00
85.37,7.08,76.20,38.29,9.00
121.85,9.39,67.83,40.19,10.00
58.59,3.57,63.82,29.12,2.00
95.74,3.10,55.64,28.97,3.00
54.64,2.74,85.63,23.68,2.00
106.38,4.96,45.65,28.43,10.00
73.17,1.27,85.90,22.38,3.00
89.96,6.07,45.71,31.43,9.00
78.31,9.13,58.28,37.48,9.00
49.30,4.79,90.26,22.76,1.00
103.89,8.18,57.25,34.81,7.00
47.70,2.44,86.21,21.41,1.00
70.80,8.65,44.79,33.58,7.00
81.41,2.90,76.72,20.67,4.00
98.65,5.33,82.00,17.33,7.00
121.49,10.63,77.49,26.87,10.00
56.93,8.10,42.44,29.37,8.00
87.66,5.94,80.19,23.56,4.00
112.02,6.08,79.63,32.02,6.00
74.57,2.13,74.63,29.30,2.00
100.77,5.22,83.00,21.73,2.00
62.27,2.58,58.43,35.24,4.00
62.40,5.26,78.45,20.33,1.00
62.57,7.25,52.39,36.52,10.00
73.21,1.38,105.92,18.68,1.00
69.21,3.57,76.48,21.78,4.00
103.82,3.07,69.09,31.11,3.00
90.21,3.26,66.31,37.85,3.00
91.49,7.99,50.98,32.73,8.00
120.37,8.77,68.04,35.73,9.00
119.49,3.72,60.83,27.52,6.00
62.02,3.04,58.11,28.64,1.00
81.95,1.99,64.37,24.25,1.00
42.43,2.22,81.17,21.49,1.00
79.72,3.32,55.95,40.29,8.00
82.25,7.89,61.84,34.66,10.00
80.46,2.41,72.93,17.19,1.00
54.06,1.35,91.13,21.67,1.00
122.99,6.65,51.52,33.54,6.00
65.17,4.68,76.50,33.79,2.00
83.58,1.78,79.31,16.63,2.00
72.27,4.64,90.95,17.97,3.00
89.31,4.45,60.42,31.81,3.00
109.05,1.19,79.25,18.67,1.00
103.37,6.44,57.22,27.78,9.00
103.15,7.72,41.67,33.55,8.00
65.52,8.45,65.67,42.33,10.00
81.66,5.35,78.55,34.59,6.00
61.96,7.24,96.87,22.55,4.00
69.16,-0.34,81.91,16.43,1.00
82.66,0.07,73.70,23.73,1.00
112.46,7.41,43.15,37.21,8.00
122.45,8.99,66.42,27.27,8.00
68.64,3.52,76.94,32.40,4.00
43.72,1.35,107.28,22.26,1.00
106.90,5.25,58.28,20.02,6.00
78.46,5.05,77.53,40.68,10.00
96.08,8.00,47.91,27.93,10.00
53.99,3.51,78.03,28.95,3.00
60.56,9.88,63.98,21.86,9.00
84.99,2.47,54.51,23.61,6.00
60.04,5.74,59.64,27.37,8.00
95.39,7.92,82.07,33.31,8.00
102.94,1.88,66.23,21.72,3.00
115.22,8.68,52.90,31.05,6.00
54.65,4.21,90.82,21.44,4.00
110.06,6.60,60.96,36.93,10.00
66.71,8.45,64.66,16.23,7.00
59.97,5.38,61.64,22.01,1.00
108.47,7.74,81.11,33.27,10.00
85.19,7.58,65.31,28.81,9.00
96.38,3.59,42.02,21.20,4.00
74.13,8.14,61.54,25.36,8.00
72.87,5.24,82.89,29.41,1.00
119.58,6.28,48.37,40.22,7.00
78.08,8.62,82.13,30.79,6.00
88.49,5.80,50.48,29.33,8.00
101.31,6.53,91.83,18.84,2.00
92.69,6.01,64.94,25.52,7.00
118.10,7.25,84.47,34.72,5.00
86.36,1.93,78.58,22.74,2.00
90.54,9.97,72.96,38.77,9.00
91.36,3.43,81.81,25.71,2.00
96.51,3.65,75.91,22.11,4.00
115.53,9.83,43.74,36.19,10.00
51.96,0.92,96.81,21.20,1.00
128.71,5.85,56.13,34.59,7.00
78.73,2.63,81.58,21.19,1.00
60.83,2.73,92.65,23.92,2.00
99.05,6.58,84.27,19.91,5.00
91.62,0.54,89.34,19.67,1.00
83.09,2.06,76.87,21.93,3.00
48.63,6.26,91.69,32.59,4.00
83.91,3.91,85.43,29.76,8.00
78.53,4.83,64.00,28.52,3.00
77.04,4.81,59.40,14.34,4.00
67.70,5.13,71.56,31.97,6.00
70.79,4.82,52.51,24.64,4.00
111.69,8.26,54.51,30.81,9.00
79.13,6.92,62.98,19.53,3.00
85.49,4.47,83.48,26.05,7.00
71.03,5.26,69.69,30.49,7.00
65.19,5.64,54.44,25.06,10.00
74.48,1.99,69.59,22.26,2.00
75.96,2.97,69.17,13.94,1.00
93.12,4.42,73.26,28.49,2.00
93.58,6.90,54.93,33.65,8.00
89.34,5.63,53.63,39.23,10.00
71.12,9.63,64.74,26.19,8.00
74.69,5.51,70.04,29.86,7.00
80.46,2.71,84.45,28.92,1.00
112.22,9.23,56.21,24.40,10.00
86.99,4.42,58.85,29.31,3.00
51.36,3.77,85.04,22.38,3.00
63.17,7.22,69.94,34.16,6.00
107.41,10.27,77.90,36.84,10.00
52.88,5.90,90.53,15.85,2.00
56.10,4.02,56.01,23.14,5.00
75.47,7.90,76.31,31.14,7.00
96.19,8.38,78.81,33.38,6.00
94.14,6.78,58.78,31.27,6.00
113.02,4.67,85.62,34.35,6.00
117.83,3.45,88.18,26.61,6.00
115.15,6.59,75.27,34.92,8.00
94.88,6.34,49.34,37.33,6.00
77.27,7.47,74.05,17.65,6.00
100.23,9.58,63.55,32.74,10.00
87.63,4.09,77.47,26.04,4.00
93.72,8.60,90.33,26.07,7.00
91.51,4.77,61.08,28.17,7.00
116.19,7.14,60.13,27.60,8.00
88.00,7.83,76.30,22.09,6.00
89.01,9.76,54.04,29.42,10.00
55.89,3.53,62.77,31.42,3.00
54.26,3.52,80.62,23.02,2.00
68.68,7.80,53.24,39.19,7.00
63.87,5.30,73.04,25.49,3.00
91.57,4.38,48.63,38.30,8.00
106.42,7.99,52.53,32.71,9.00
58.96,2.93,85.15,33.88,2.00
